SpeciesName,month,year,stateProvince,decimalLatitude,decimalLongitude
Sandpiper,4,1974,Victoria,-38.2068,145.3763
Sandpiper,1,1980,Victoria,-38.2485,144.5846
Sandpiper,2,1985,Victoria,-36.6934,144.2987
Sandpiper,1,2000,Victoria,-38.0645,145.1688
Sandpiper,1,2001,Victoria,-38.0645,145.1688
Sandpiper,10,1975,Victoria,-38.3151,145.2013
Sandpiper,1,1980,Victoria,-38.0818,144.5846
Sandpiper,1,1975,Victoria,-38.3318,145.1679
Sandpiper,10,1978,Victoria,-38.3735,141.6263
Sandpiper,1,2017,Victoria,-37.4399,144.9981
Sandpiper,2,1999,Victoria,-38.4035,142.5125
Sandpiper,4,1980,Victoria,-36.5818,144.7513
